pointid,grid_code,xcoord,ycoord
"174",10.70810000000,-73.907813562896,40.8883742903287
"175",9.64477000000,-73.9042547604492,40.8883713932041
"176",9.84545000000,-73.9006959583186,40.8883683863557
"177",10.23680000000,-73.8971371565157,40.8883652697835
"178",11.09910000000,-73.8935783550524,40.8883620434875
"179",11.01730000000,-73.8900195539404,40.8883587074678
"180",9.59179000000,-73.8864607531915,40.8883552617243
"181",9.23553000000,-73.8829019528174,40.8883517062571
"182",9.05034000000,-73.8793431528298,40.8883480410661
"183",8.84487000000,-73.8757843532405,40.8883442661515
"184",8.77465000000,-73.8722255540613,40.8883403815132
"185",8.91446000000,-73.8686667553038,40.8883363871513
"186",9.40186000000,-73.86510795698,40.8883322830657
"187",9.96895000000,-73.8615491591013,40.8883280692565
"188",9.99837000000,-73.8579903616798,40.8883237457237
"189",9.69626000000,-73.854431564727,40.8883193124673
"190",9.53320000000,-73.8508727682547,40.8883147694874
"191",9.94657000000,-73.8473139722748,40.8883101167839
"192",10.14320000000,-73.8437551767988,40.8883053543569
"193",10.07910000000,-73.8401963818387,40.8883004822065
"194",10.51220000000,-73.836637587406,40.8882955003326
"195",11.38010000000,-73.8330787935127,40.8882904087352
"196",11.85570000000,-73.8295200001703,40.8882852074144
"197",11.99420000000,-73.8259612073907,40.8882798963703
"198",11.98180000000,-73.8224024151857,40.8882744756028
"199",11.65930000000,-73.8188436235669,40.8882689451119
"200",11.55370000000,-73.8152848325461,40.8882633048978
"201",10.90650000000,-73.811726042135,40.8882575549603
"202",10.64030000000,-73.8081672523455,40.8882516952997
"203",9.04620000000,-73.9220519423971,40.8856840117578
"204",9.19958000000,-73.9184932833808,40.8856815536273
"205",9.63714000000,-73.9149346246335,40.8856789857772
"206",10.16560000000,-73.911375966167,40.8856763082077
"207",10.19330000000,-73.907817307993,40.8856735209188
"208",10.04480000000,-73.9042586501233,40.8856706239104
"209",10.97070000000,-73.9006999925696,40.8856676171827
"210",14.40880000000,-73.8971413353436,40.8856645007355
"211",11.08360000000,-73.8935826784572,40.885661274569
"212",10.19200000000,-73.8900240219221,40.8856579386831
"213",9.95123000000,-73.88646536575,40.8856544930779
"214",9.99014000000,-73.8829067099526,40.8856509377533
"215",10.15070000000,-73.8793480545418,40.8856472727095
"216",9.64193000000,-73.8757893995291,40.8856434979463
"217",9.02389000000,-73.8722307449265,40.8856396134639
"218",9.01291000000,-73.8686720907456,40.8856356192622
"219",9.36393000000,-73.8651134369983,40.8856315153413
"220",10.54420000000,-73.8615547836961,40.8856273017012
"221",9.79428000000,-73.8579961308509,40.8856229783419
"222",9.60034000000,-73.8544374784745,40.8856185452634
"223",9.56291000000,-73.8508788265785,40.8856140024657
"224",10.06950000000,-73.8473201751748,40.885609349949
"225",10.25530000000,-73.843761524275,40.8856045877131
"226",10.47200000000,-73.8402028738909,40.8855997157581
"227",10.82500000000,-73.8366442240343,40.8855947340841
"228",11.78920000000,-73.8330855747169,40.8855896426911
"229",12.66950000000,-73.8295269259505,40.885584441579
"230",12.49430000000,-73.8259682777467,40.8855791307479
"231",12.80190000000,-73.8224096301174,40.8855737101979
"232",12.63290000000,-73.8188509830743,40.885568179929
"233",11.59330000000,-73.8152923366291,40.8855625399412
"234",10.81270000000,-73.8117336907936,40.8855567902344
"235",10.91090000000,-73.8081750455796,40.8855509308089
"236",10.15930000000,-73.8046164009987,40.8855449616645
"237",9.37409000000,-73.8010577570627,40.8855388828013
"238",9.27361000000,-73.7974991137834,40.8855326942194
"239",9.22787000000,-73.9220551089285,40.8829832405792
"240",9.55347000000,-73.9184965944775,40.8829807825473
"241",9.88388000000,-73.9149380802956,40.8829782148002
"242",10.04590000000,-73.9113795663944,40.8829755373382
"243",10.44180000000,-73.9078210527857,40.8829727501611
"244",10.80320000000,-73.9042625394813,40.882969853269
"245",13.22870000000,-73.9007040264928,40.8829668466619
"246",11.94050000000,-73.8971455138321,40.8829637303398
"247",10.94740000000,-73.8935870015108,40.8829605043027
"248",10.26480000000,-73.8900284895408,40.8829571685507
"249",10.88780000000,-73.8864699779337,40.8829537230837
"250",12.52570000000,-73.8829114667013,40.8829501679018
"251",13.09870000000,-73.8793529558555,40.882946503005
"252",11.35040000000,-73.8757944454077,40.8829427283934
"253",9.75626000000,-73.87223593537,40.8829388440668
"254",9.46124000000,-73.8686774257539,40.8829348500254
"255",9.63885000000,-73.8651189165713,40.8829307462692
"256",9.79683000000,-73.8615604078339,40.8829265327981
"257",9.68759000000,-73.8580018995533,40.8829222096123
"258",9.47529000000,-73.8544433917415,40.8829177767117
"259",9.57458000000,-73.8508848844101,40.8829132340963
"260",10.05890000000,-73.8473263775708,40.8829085817662
"261",10.93290000000,-73.8437678712354,40.8829038197214
"262",10.57540000000,-73.8402093654157,40.8828989479619
"263",11.43860000000,-73.8366508601234,40.8828939664878
"264",11.95590000000,-73.8330923553702,40.8828888752991
"265",12.97300000000,-73.8295338511679,40.8828836743957
"266",12.93780000000,-73.8259753475283,40.8828783637777
"267",11.86090000000,-73.822416844463,40.8828729434452
"268",11.17170000000,-73.8188583419838,40.8828674133982
"269",10.65020000000,-73.8152998401025,40.8828617736367
"270",9.90689000000,-73.8117413388308,40.8828560241607
"271",9.47892000000,-73.8081828381805,40.8828501649702
"272",9.29112000000,-73.8046243381633,40.8828441960654
"273",9.16833000000,-73.8010658387908,40.8828381174461
"274",9.11198000000,-73.797507340075,40.8828319291125
"275",9.10212000000,-73.7939488420276,40.8828256310645
"276",9.10937000000,-73.925616645357,40.8802848162815
"277",9.30613000000,-73.9220582752025,40.8802824680589
"278",10.65110000000,-73.9184999053052,40.8802800101255
"279",9.80641000000,-73.9149415356769,40.8802774424816
"280",9.77973000000,-73.9113831663293,40.8802747651269
"281",11.24280000000,-73.9078247972742,40.8802719780617
"282",11.90540000000,-73.9042664285233,40.8802690812858
"283",13.32920000000,-73.9007080600883,40.8802660747993
"284",11.31270000000,-73.897149691981,40.8802629586023
"285",10.16630000000,-73.8935913242131,40.8802597326947
"286",10.91740000000,-73.8900329567965,40.8802563970765
"287",12.19150000000,-73.8864745897427,40.8802529517478
"288",13.72370000000,-73.8829162230636,40.8802493967086
"289",14.31640000000,-73.8793578567709,40.8802457319588
"290",13.02040000000,-73.8757994908764,40.8802419574986
"291",10.58770000000,-73.8722411253918,40.8802380733279
"292",9.94844000000,-73.8686827603288,40.8802340794468
"293",10.60860000000,-73.8651243956992,40.8802299758552
"294",9.90812000000,-73.8615660315147,40.8802257625532
"295",10.20430000000,-73.8580076677871,40.8802214395408
"296",9.41856000000,-73.8544493045281,40.8802170068181
"297",9.67678000000,-73.8508909417495,40.880212464385
"298",9.93664000000,-73.8473325794629,40.8802078122416
"299",10.11250000000,-73.8437742176802,40.8802030503879
"300",10.67370000000,-73.8402158564131,40.8801981788239
"301",10.89730000000,-73.8366574956734,40.8801931975497
"302",12.09620000000,-73.8330991354727,40.8801881065652
"303",11.92420000000,-73.8295407758228,40.8801829058706
"304",11.59270000000,-73.8259824167355,40.8801775954657
"305",11.09630000000,-73.8224240582224,40.8801721753507
"306",10.29850000000,-73.8188657002955,40.8801666455256
"307",9.72409000000,-73.8153073429663,40.8801610059904
"308",9.24762000000,-73.8117489862467,40.880155256745
"309",9.03403000000,-73.8081906301483,40.8801493977897
"310",9.01977000000,-73.804632274683,40.8801434291243
"311",9.04590000000,-73.8010739198624,40.880137350749
"312",9.07494000000,-73.7975155656983,40.8801311626637
"313",9.09616000000,-73.7939572122025,40.8801248648685
"314",9.10447000000,-73.7903988593867,40.8801184573633
"315",9.12187000000,-73.7868405072626,40.8801119401483
"316",8.86280000000,-73.9291778926899,40.8775862807533
"317",8.82158000000,-73.9256196668319,40.8775840423312
"318",9.22778000000,-73.9220614412193,40.8775816942027
"319",9.61960000000,-73.918503215864,40.877579236368
"320",9.59730000000,-73.9149449907775,40.8775766688271
"321",9.99348000000,-73.9113867659718,40.8775739915799
"322",11.41260000000,-73.9078285414585,40.8775712046265
"323",15.30260000000,-73.9042703172493,40.8775683079669
"324",11.95930000000,-73.9007120933561,40.8775653016011
"325",10.48720000000,-73.8971538697905,40.877562185529
"326",9.65392000000,-73.8935956465643,40.8775589597509
"327",10.25110000000,-73.8900374236892,40.8775556242665
"328",11.34970000000,-73.8864792011771,40.8775521790761
"329",12.80950000000,-73.8829209790395,40.8775486241795
"330",13.83100000000,-73.8793627572883,40.8775449595768
"331",12.09500000000,-73.8758045359352,40.877541185268
